"","CNSL_probe_0","CNSL_probe_1","CNSL_probe_2","CNSL_probe_3","CNSL_probe_4","CNSL_probe_5","CNSL_probe_6","CNSL_probe_7","CNSL_probe_8","CNSL_probe_9","CNSL_probe_10","CNSL_probe_11","CNSL_probe_12","CNSL_probe_13","CNSL_probe_14","CNSL_probe_15","CNSL_probe_16","CNSL_probe_17","CNSL_probe_18","CNSL_probe_19","CNSL_probe_20","CNSL_probe_21","CNSL_probe_22","CNSL_probe_23","CNSL_probe_24","CNSL_probe_25","CNSL_probe_26","CNSL_probe_27","CNSL_probe_28","CNSL_probe_29","CNSL_probe_30","CNSL_probe_31","CNSL_probe_32","CNSL_probe_33","CNSL_probe_34","CNSL_probe_35","CNSL_probe_36","CNSL_probe_37","CNSL_probe_38","CNSL_probe_39","CNSL_probe_40","CNSL_probe_41","CNSL_probe_42","CNSL_probe_43","CNSL_probe_44","CNSL_probe_45","CNSL_probe_46"
"5929",1,1.25,1.25,1.25,1.25,1.25,1.5,1.75,2,1.75,1.5,1.5,1.25,1.5,1.75,1.5,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,2,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.5,1.5,1.75,1.75,2,1.75,1.75,1.5,1.25
"5930",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5931",1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1,1.25,1.25,1.25,1.25,1,1.25,1.25,1.5,1.5,1.25,1.25,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1,1,1,1,1,1,1,1,1,1.25
"5932",2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75
"5933",2.25,2,2,2,2,2,2,2,2,2,2,2,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2.25,2.25,2.25,2.25,2,2,2.25,2.25,2.25,2.25,2,2,2,2,2,2.25,2.25,2.25,2.5,2.25,2.25,2.25,2
"5934",2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,1.75,1.75,1.75,1.75,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75
"5935",2.75,2.5,2,2,2.25,2.5,3,3,2.75,2.75,2.75,2.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.75,2.75,2.75,2.75,3,3,3,2.75
"5936",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75
"5937",3,2.75,2.25,2.25,2.25,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.75,2.5,2,2,2.25,2.5
"5938",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.5,1.25,1.25,1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25
"5939",1.75,1.75,1.75,1.75,1.75,1.75,2,2,1.75,1.5,1.5,1.5,1.75,2,2,2,2,2,1.75,1.75,1.5,1.5,1.75,1.5,1.5,1.25,1,1.25,1.5,1.75,2,2,2,2,1.75,1.75,1.75,1.75,1.75,1.5,1.5,1.25,1.5,1.75,1.5,1.5,1.5
"5940",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5941",2,2,1.75,1.75,1.75,1.75,2,2,1.75,1.75,1.5,1.25,1.5,1.5,1.75,1.75,1.75,1.75,1.75,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"5942",3,3,2.75,2.75,2.75,2.75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2.5,2.5,2.5
"5943",2.75,2.5,2.5,2.25,2,2.25,2.25,2.25,2.5,2.25,2.25,2.5,2.25,2.5,2.5,2.5,2.5,2.5,2.5,2.25,2.25,2,2,2.25,2.25,2.25,2.25,2,2.25,2,1.75,1.5,1,1,1,1,1.25,1.5,1.75,2.25,2.5,2.5,2.75,2.5,2.5,2.75,2.75
"5944",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25
"5945",3,3,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"5946",2.75,2.75,3,2.75,2.75,2.5,2.5,2.5,2.25,2.25,2,2,2,2.25,2.25,2.25,2.5,2.25,2.25,2.25,2.25,2.25,2.25,2.5,2.25,2.25,2.25,2,2.25,2.5,2.75,3,2.75,2.75,2.5,2.25,2.25,2,2.25,2.5,2.75,2.75,2.75,2.5,2.25,2.25,2.25
"5947",3,3,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.75,2.75,2.75,2.75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"5948",2,2,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75
"5949",1,1,1.25,1.25,1.25,1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5950",2.5,2.5,2.75,2.75,2.75,2.75,2.75,2.75,3,3,2.75,2.75,2.75,2.75,3,3,3,3,3,3,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"5951",2,2,1.75,1.75,1.5,1.5,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"5952",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.5,1.75,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.5,1.25,1,1,1,1,1,1
"5953",2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75
"5954",2,2,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.5,1.5,1.5
"5955",2,1.75,1.5,1.5,1.5,1.75,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
"5956",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5
"5957",1.75,1.75,1.75,1.75,1.75,1.75,1.5,1.5,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,2,1.75,1.5,1.5,1.5,1.75,2,2,2,2,1.75,1.75,1.75,1.75,2,2,1.75,1.5,1.5,1.5,1.75
"5958",1.75,1.75,2,2,2.25,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.5
"5959",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5960",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"5961",1.75,1.75,2.25,2.25,2,2,1.75,1.75,2,2,1.75,1.75,1.75,1.75,1.75,1.5,1.5,1.5,1.5,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,2,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.5
"5962",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.75,2.75,2.75,2.75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.75,2.75,2.75,2.75
"5963",3,3,2.5,2.5,2.25,2.25,2.75,2.75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.75,2.25,2,1.5,1.25,1.25,1,1.5,2,2.5,3,3,3,3,2.75,2.75,2.75,2.75
"5964",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5965",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25
"5966",1.5,1.5,1.25,1,1,1.25,1.25,1.25,1.25,1.25,1.5,1.5,1.5,1.25,1.25,1.25,1.5,1.5,1.25,1.5,1.25,1.5,1.5,1.5,1.5,1.25,1.5,1.25,1.25,1.25,1,1,1,1,1,1,1,1.25,1.25,1.25,1.5,1.25,1.25,1.25,1,1,1.25
"5967",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5968",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5969",1.5,1.25,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.5,1.75,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.75,2,2,2,2,2,1.75,1.5,1.5,1.5,1.5,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,2,1.75,1.5,1.25,1.25,1.25
"5970",1.25,1,1,1,1.25,1.25,1.25,1.25,1,1,1.25,1.25,1.25,1.25,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25
"5971",2,2,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,1.75,1.75,1.75,1.75
"5972",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.25,2.25,2.25,2.25
"5973",2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75
"5974",2,2,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75
"5975",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5976",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5977",2,2,1.75,1.75,1.75,1.5,1.75,1.75,1.75,2,1.75,1.75,1.75,1.75,2,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,1.75,1.75,1.75
"5978",2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.25,2.25,2.25,2.25
"5979",3,3,2.75,2.75,2.75,2.75,3,3,3,3,3,3,3,3,3,2.75,2.75,2.75,2.75,3,2.75,2.75,2.75,2.75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2.5,2.5,2.5
"5980",2.75,2.75,2.75,2.5,2.5,2.5,2.5,2.75,3,3,3,3,2.75,2.5,2.25,2.25,2.25,2.25,2.5,2.5,2.25,2.5,2.25,2,2.5,2.25,2.5,2.75,2.75,3,2.75,2.75,2.5,2.25,2.25,2,2,2,2.25,2.25,2.25,2.5,2.25,2.5,2.75,2.75,2.75
"5981",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25
"5982",3,3,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.75,2.75,2.75,2.75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2.5,2.5,2.5
"5983",2.75,2.75,2.25,2.25,2.5,2.5,3,3,3,3,2.75,2.5,2.5,2.5,2.75,3,3,3,3,3,3,2.75,2.75,2.5,2.25,2.5,2.5,2.75,3,3,3,2.75,2.75,2.75,2.75,3,3,2.75,2.75,2.75,2.75,3,3,3,3,3,3
"5984",3,3,2.5,2.5,2.5,2.5,2.75,2.75,2.75,2.75,3,3,3,3,2.75,2.75,2.75,2.75,3,3,3,3,3,2.75,2.75,2.75,2.75,3,3,3,3,3,2.75,2.75,2.75,2.75,3,2.75,2.75,2.5,2.5,2.75,2.75,2.75,2.75,2.75,2.75
"5985",1.75,1.75,1.75,1.75,1.5,1.5,1.75,1.75,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75
"5986",3,3,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"5987",3,3,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.75,2.75,2.75,2.5,2.75,2.75,2.75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"5988",1,1,1.5,1.5,1.5,1.75,1.25,1.25,1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5989",3,2.75,2.5,2.5,2.5,2.75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.75,2.75,2.75,2.75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.75,2.75,2.75,2.75
"5990",1,1,1.25,1.25,1.25,1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5991",2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.25,2.25,2.25,2.25
"5992",2,2,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75
"5993",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5994",1.75,1.75,1.5,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.5,1.75,1.75,1.75,2,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2.25,2.25,2.25,2.25
"5995",2,2,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,2,2,1.75,1.5,1.5,1.25,1.5,1.75,1.5,1.75,1.5,1.5,1.75,1.5,1.75,1.75,1.75,2,2,1.75,1.5,1.5,1.25,1.5,1.75,1.5,1.75,1.5,1.25,1.25,1.25,1.5,1.75,1.75,1.5,1.5,1.5
"5996",2,2,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"5997",3,2.75,2.25,2.25,2,2,2.5,2.5,2.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,3,3,3,2.75,2.5,2.5,2.5,2.5,2.75,2.75,2.75,3,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.5,2.5,2.5,2.5,2.75,2.75,3,3,3
"5998",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.25,2.25,2.25,2.5,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75
"5999",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6000",3,2.75,2.75,2.75,2.75,3,3,3,2.75,2.75,2.75,2.5,2.75,2.75,2.75,2.75,2.75,2.5,2.5,2.75,2.25,2.25,2,1.75,2.25,2.5,2.75,2.75,2.5,2.25,2,2.25,2.5,2.5,2.5,2.5,2.5,2.5,2.75,2.75,2.75,3,2.75,2.75,2.75,2.75,2.75
"6001",2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75
"6002",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25
"6003",3,3,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.75,2.75,2.75,2.75,3,3,3,3,3,3,3,3,3,3
"6004",2.5,2.5,2.25,2.5,2.5,2.5,2.75,2.5,2.25,2,2.25,2.5,2.5,2.5,2.25,2.25,2.5,2.5,2.5,2.25,2,2,2,2.25,2.25,2.25,2.5,2.5,2.5,2.75,2.75,2.5,2.5,2.5,2.25,2.25,2.25,2.25,2.25,2.5,2.75,2.75,3,3,3,3,3
"6005",2,2,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75
"6006",3,3,3,3,2.75,2.75,2.75,2.75,3,3,3,3,3,3,3,3,3,3,3,3,2.75,2.75,2.75,2.5,2.75,2.75,2.75,3,3,2.75,2.75,2.75,2.75,3,3,3,3,3,3,3,3,3,3,2.75,2.75,2.75,2.75
"6007",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6008",2.75,2.75,2.75,2.75,2.5,2.5,2.5,2.25,2.5,2.5,2.5,2.5,2.5,2.5,2.75,2.75,2.5,2.5,2.5,2.75,2.75,2.75,2.5,2.25,2.5,2.5,2.75,3,3,3,3,3,2.75,2.5,2.5,2.25,2.5,2.75,2.75,2.75,2.75,2.5,2.25,2.5,2.5,2.5,2.75
"6009",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6010",2,2,2,2,2,2,2,2,2.25,2.25,2.25,2.25,2,2,2,2.25,2.25,2.25,2.25,2,1.75,1.75,2,2.25,2.5,2.5,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2.25,2.25,2.25,2.5,2.25,2.25,2.25
"6011",3,3,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"6012",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"6013",1.75,1.5,1.75,1.75,1.75,2,1.75,1.75,1.5,1.25,1.25,1.25,1.5,1.75,1.75,1.75,1.5,1.25,1,1,1,1.25,1.5,1.5,1.75,1.5,1.5,1.75,1.75,2,2,1.75,1.5,1.25,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1,1,1
"6014",2.25,2.25,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.25,2.25,2.25,2.25
"6015",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"6016",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.25,2.25,2,2.25,2,2,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,2,2,2
"6017",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25
"6018",1,1,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6019",2,2,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75
"6020",2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75
"6021",2,2,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"6022",2.5,2.25,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.25,2.5,2.5,2.5,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75
"6023",2,2,2,2,2,1.75,1.75,1.5,1.5,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.5,1.5,1.5,1.5,1.75,1.5,1.5,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,2.25,2.25,2,2
"6024",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25
"6025",1,1,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6026",1,1,1.5,1.5,1.5,1.5,1,1,1,1,1.25,1.25,1.25,1.25,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6027",3,3,2.75,2.75,2.75,2.75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"6028",2,2.25,2.5,2.5,2.5,2.5,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,2,2,2.25,2.25,2.25,2.25,2,2,2,2,2,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2.25,2.25,2.5,2.5,2.5,2.5,2.25,2.25
"6029",2,2,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.25,2.25,2.25,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75
"6030",2,2,2,2,2,2,2,2,2,2,2.25,2.25,2.25,2.25,2,2.25,2.25,2.5,2.75,2.75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.75,2.5,2.5,2.5,2.5,2.5,2.25,2,2
"6031",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6032",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6033",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.75,2.75,2.75,2.75,3,3,2.75,2.75,2.75,2.75,3,3,3,3,3,3,3,2.75,2.75,2.75,2.75
"6034",3,3,3,3,2.75,2.75,2.75,2.5,2.75,2.75,2.75,2.75,2.5,2.5,2.5,2.75,3,3,2.75,2.75,2.25,2.25,2.5,2.25,2.75,2.75,2.5,2.5,2.5,2.25,2.5,2.75,2.75,3,3,3,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,3,2.75,2.75
"6035",2,2,2.25,2.25,2.25,2,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,2,2,2,2,2,2,1.75,1.5,1.5,1.5
